Date,open,high,low,close,volume
2015-02-19,577.817,586.227,566.686,570.595,493985.0
2015-02-18,567.429,579.549,555.061,576.927,593849.0
2015-02-16,559.513,574.206,559.513,567.874,280496.0
2015-02-13,558.227,561.294,549.965,559.662,234411.0
2015-02-12,556.05,559.761,547.146,556.644,236411.0
2015-02-11,561.987,564.46,548.135,553.329,246092.0
2015-02-10,538.241,561.789,536.856,558.375,441371.0
2015-02-09,545.167,548.333,535.372,536.856,336266.0
2015-02-06,573.86,573.86,546.898,553.824,903529.0
2015-02-05,582.764,596.468,575.937,583.309,686194.0
2015-02-04,599.584,600.178,582.319,585.584,278736.0
2015-02-03,590.68,605.57,588.948,595.676,666026.0
2015-02-02,578.807,589.393,575.492,586.029,276291.0
2015-01-30,594.786,597.556,574.899,578.757,391918.0
2015-01-29,580.489,594.637,574.849,591.174,320490.0
2015-01-28,593.648,596.517,580.934,582.913,440399.0
2015-01-27,586.772,601.959,586.772,598.694,490834.0
2015-01-23,567.577,584.496,567.429,581.676,646449.0
2015-01-22,544.721,562.976,542.941,560.305,421118.0
2015-01-21,550.114,553.725,540.764,545.562,412194.0
2015-01-20,530.573,555.654,529.435,553.181,577248.0
2015-01-19,520.431,533.986,517.76,533.046,372503.0
2015-01-16,524.389,525.873,516.968,520.036,280968.0
2015-01-15,524.389,530.326,518.205,526.813,479695.0
2015-01-14,515.039,521.075,508.855,514.841,526799.0
2015-01-13,516.771,520.431,510.141,514.05,352301.0
2015-01-12,512.516,519.195,506.679,516.87,277039.0
2015-01-09,513.11,519.442,510.537,516.325,348791.0
2015-01-08,498.021,509.35,496.24,506.777,353104.0
2015-01-07,491.095,495.399,484.219,488.77,567639.0
2015-01-06,509.35,509.35,493.717,495.795,500767.0
2015-01-05,505.986,520.431,502.028,518.552,589915.0
2015-01-02,491.244,511.428,491.244,506.283,302694.0
2015-01-01,487.385,494.459,487.385,492.975,108635.0
2014-12-31,489.314,493.173,485.901,490.848,296366.0
2014-12-30,492.876,494.41,485.307,488.671,196003.0
2014-12-29,480.756,492.53,479.865,489.71,283289.0
2014-12-26,480.756,482.586,474.424,479.915,434355.0
2014-12-24,483.823,487.484,477.59,480.311,287791.0
2014-12-23,489.76,495.894,480.459,482.735,205213.0
2014-12-22,480.954,491.639,476.65,489.067,193110.0
2014-12-19,483.823,492.579,478.876,480.855,365154.0
2014-12-18,475.413,484.763,475.413,479.915,252867.0
2014-12-17,474.918,480.756,464.035,470.763,669688.0
2014-12-16,485.802,486.198,473.533,476.749,334786.0
2014-12-15,490.749,496.537,487.138,488.572,241975.0
2014-12-12,494.954,502.325,490.254,494.707,344899.0
2014-12-11,504.106,507.074,492.926,498.664,437881.0
2014-12-10,492.728,509.3,487.781,505.392,430069.0
2014-12-09,509.548,515.237,495.943,497.774,482770.0
2014-12-08,519.046,524.834,508.262,510.339,282533.0
2014-12-05,520.431,525.131,517.216,519.244,196953.0
2014-12-04,526.368,531.364,516.474,522.311,369626.0
2014-12-03,530.721,532.898,520.926,522.905,373015.0
2014-12-02,531.315,531.315,522.757,523.4,362240.0
2014-12-01,532.799,534.283,524.983,530.474,327628.0
2014-11-28,518.453,532.304,516.226,527.308,3108457.0
2014-11-27,509.449,516.919,506.085,513.06,602056.0
2014-11-26,515.484,519.244,509.845,514.248,362048.0
2014-11-25,522.41,523.4,507.915,515.237,500843.0
2014-11-24,525.032,532.552,519.442,521.025,630658.0
2014-11-21,522.41,533.294,521.916,524.834,524656.0
2014-11-20,528.05,528.05,514.841,519.096,477652.0
2014-11-19,536.262,539.181,517.018,523.301,399007.0
2014-11-18,543.138,544.969,534.778,535.569,507879.0
2014-11-17,513.308,541.555,513.308,539.329,895237.0
2014-11-14,524.389,530.771,514.396,518.255,390380.0
2014-11-13,526.615,530.128,518.304,520.679,311613.0
2014-11-12,516.474,530.82,516.474,524.983,312290.0
2014-11-11,516.474,522.262,511.329,516.177,366536.0
2014-11-10,528.248,529.138,513.505,516.177,410639.0
2014-11-07,524.389,538.439,524.389,528.099,258585.0
2014-11-05,525.082,532.7,515.831,529.089,608062.0
2014-11-03,526.368,530.326,520.976,525.527,277152.0
2014-10-31,520.778,531.315,515.534,529.979,452367.0
2014-10-30,515.979,524.29,514.99,520.827,284051.0
2014-10-29,509.103,521.322,509.103,520.382,331525.0
2014-10-28,500.643,505.986,498.664,503.216,191364.0
2014-10-27,511.626,513.011,496.784,498.318,201701.0
